,"1. Rankings for all countries, 2006 - 2021",,,,,,,,,,
"Dataset with option to select the year, and see the results for all countries for that year. Sort by HPI score, life expectancy, GDP per capita or any other variable in the data set. You can filter by continent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CHOOSE YEAR HERE: ,,2021,,,,,,,Good,,
USE THE FILTERS BELOW TO SORT BY HPI RANK OR COMPONENT,,,,,,,,,Average,,
,,,,,,,,,Poor,,
,,,,,,,,,,,
HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Carbon Footprint (tCO2e),HPI,CO2 threshold for year  (tCO2e),GDP per capita ($)
137.0,Nigeria,NGA,2021NGA,5,213401.3,52.7,4.48,1.55,21.6,3.17,4923
138.0,Mongolia,MNG,2021MNG,8,3347.8,71.0,5.72,24.67,20.4,3.17,11668
139.0,Zimbabwe,ZWE,2021ZWE,5,15993.5,59.3,3.15,0.82,19.7,3.17,2115
140.0,Lebanon,LBN,2021LBN,4,5592.6,75.0,2.18,4.91,19.2,3.17,12987
141.0,Zambia,ZMB,2021ZMB,5,19473.1,61.2,3.08,2.23,19.1,3.17,3237
142.0,Qatar,QAT,2021QAT,4,2688.2,79.3,6.50,42.20,18.8,3.17,92863
143.0,Chad,TCD,2021TCD,5,17179.7,52.5,4.40,3.88,18.3,3.17,1425
144.0,Afghanistan,AFG,2021AFG,6,40099.5,62.0,2.44,1.14,16.2,3.17,1517
145.0,Lesotho,LSO,2021LSO,5,2281.5,53.1,3.70,3.04,15.6,3.17,2293
146.0,Botswana,BWA,2021BWA,5,2588.4,61.1,3.50,10.28,14.7,3.17,14907
147.0,Central African Republic,CAF,2021CAF,5,5457.2,53.9,3.10,1.83,13.7,3.17,838
