,"1. Rankings for all countries, 2006 - 2021",,,,,,,,,,
"Dataset with option to select the year, and see the results for all countries for that year. Sort by HPI score, life expectancy, GDP per capita or any other variable in the data set. You can filter by continent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CHOOSE YEAR HERE: ,,2011,,,,,,,Good,,
USE THE FILTERS BELOW TO SORT BY HPI RANK OR COMPONENT,,,,,,,,,Average,,
,,,,,,,,,Poor,,
,,,,,,,,,,,
HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Carbon Footprint (tCO2e),HPI,CO2 threshold for year  (tCO2e),GDP per capita ($)
79.0,Australia,AUS,2011AUS,2,22357.0,82.1,7.41,23.08,34.4,3.55,45405
69.0,Malta,MLT,2011MLT,3,423.6,81.1,6.15,14.67,36.9,3.55,32924
23.0,Bangladesh,BGD,2011BGD,6,150211.0,68.8,4.99,0.85,44.9,3.55,3571
57.0,Malaysia,MYS,2011MYS,8,29184.1,74.7,5.79,8.65,39.0,3.55,20900
83.0,Latvia,LVA,2011LVA,7,2077.0,73.7,4.97,8.31,33.6,3.55,22117
139.0,Libya,LBY,2011LBY,4,6188.1,70.1,0.00,3.96,0.0,3.55,16356
78.0,Belgium,BEL,2011BEL,3,10955.7,80.4,7.11,20.59,34.4,3.55,48155
58.0,Belarus,BLR,2011BLR,7,9707.0,71.5,5.23,5.39,38.5,3.55,18274
27.0,Tunisia,TUN,2011TUN,4,11032.5,75.5,4.88,3.26,44.3,3.55,10136
102.0,Estonia,EST,2011EST,7,1327.4,76.5,5.49,15.32,29.7,3.55,27990
43.0,South Korea,KOR,2011KOR,8,49169.9,81.2,6.95,14.89,41.0,3.55,35389
108.0,Bulgaria,BGR,2011BGR,7,7543.1,74.2,3.88,7.41,28.1,3.55,18662
90.0,Nepal,NPL,2011NPL,6,27266.4,67.3,3.81,1.25,32.2,3.55,2764
71.0,Canada,CAN,2011CAN,2,34323.5,81.5,7.43,20.31,36.9,3.55,45823
80.0,Georgia,GEO,2011GEO,7,3821.7,72.4,4.20,4.05,34.4,3.55,10541
55.0,Cyprus,CYP,2011CYP,3,1145.1,80.0,6.69,14.49,39.3,3.55,37587
84.0,Ukraine,UKR,2011UKR,7,45516.1,71.4,5.08,7.65,33.5,3.55,12933
81.0,Cambodia,KHM,2011KHM,8,14573.9,68.4,4.16,2.22,34.1,3.55,2857
89.0,Montenegro,MNE,2011MNE,7,631.8,76.1,5.22,11.27,32.7,3.55,17287
93.0,Congo (Brazzaville),COG,2011COG,5,4584.2,62.0,4.51,1.78,31.4,3.55,4925
105.0,Serbia,SRB,2011SRB,7,7620.9,74.8,4.82,11.50,29.2,3.55,14924
127.0,Gabon,GAB,2011GAB,5,1772.5,64.0,4.26,6.42,24.4,3.55,14146
87.0,Azerbaijan,AZE,2011AZE,7,9359.0,70.0,4.68,5.58,33.1,3.55,13914
139.0,Ethiopia,ETH,2011ETH,5,91817.9,60.7,0.00,0.13,0.0,3.55,1336
52.0,Paraguay,PRY,2011PRY,1,5843.9,72.1,5.68,6.72,39.6,3.55,11613
54.0,Turkey,TUR,2011TUR,4,74173.9,74.9,5.27,6.69,39.3,3.55,21716
47.0,Pakistan,PAK,2011PAK,6,198602.7,64.6,5.27,1.75,40.1,3.55,4082
97.0,Iraq,IRQ,2011IRQ,4,32378.1,67.7,4.73,6.13,30.6,3.55,8493
119.0,Cameroon,CMR,2011CMR,5,20448.9,57.1,4.43,1.51,26.4,3.55,3315
110.0,Mozambique,MOZ,2011MOZ,5,23760.4,54.9,4.97,1.53,27.7,3.55,1093
45.0,Ghana,GHA,2011GHA,5,26205.9,61.7,5.61,1.31,40.5,3.55,4129
22.0,Jordan,JOR,2011JOR,4,7110.0,74.2,5.54,4.47,45.3,3.55,11885
24.0,Venezuela,VEN,2011VEN,1,29096.2,72.9,6.58,7.36,44.9,3.55,0
76.0,Mauritania,MRT,2011MRT,5,3524.2,63.3,4.78,1.83,34.8,3.55,4825
139.0,Cote d'Ivoire,CIV,2011CIV,5,21562.9,55.5,0.00,0.87,0.0,3.55,3464
85.0,Egypt,EGY,2011EGY,4,89200.1,69.9,4.17,3.37,33.3,3.55,10286
94.0,United States of America,USA,2011USA,2,313876.6,78.8,7.12,23.56,30.9,3.55,54954
56.0,Bolivia,BOL,2011BOL,1,10396.2,66.5,5.78,4.68,39.1,3.55,6724
139.0,Myanmar,MMR,2011MMR,8,49794.5,63.9,0.00,1.77,0.0,3.55,3018
129.0,Guinea,GIN,2011GIN,5,10527.7,57.0,4.04,1.48,23.6,3.55,1913
96.0,Uganda,UGA,2011UGA,5,33295.7,58.0,4.83,1.20,30.7,3.55,1996
98.0,Kenya,KEN,2011KEN,5,42635.1,61.0,4.41,1.36,30.5,3.55,3824
99.0,Niger,NER,2011NER,5,17283.1,59.0,4.56,1.09,30.0,3.55,1010
113.0,Singapore,SGP,2011SGP,8,5281.3,82.0,6.56,27.54,27.4,3.55,81338
74.0,Laos,LAO,2011LAO,8,6416.3,64.7,4.70,1.99,35.3,3.55,5104
86.0,Madagascar,MDG,2011MDG,5,22348.2,63.5,4.38,1.23,33.1,3.55,1493
104.0,Kazakhstan,KAZ,2011KAZ,7,16864.9,68.7,5.74,12.18,29.3,3.55,21970
128.0,South Africa,ZAF,2011ZAF,5,52443.3,60.7,4.93,7.82,24.0,3.55,13722
100.0,Saudi Arabia,SAU,2011SAU,4,30150.9,76.2,6.70,20.91,29.9,3.55,44643
95.0,Iran,IRN,2011IRN,4,76343.0,73.7,4.77,9.45,30.7,3.55,15302
130.0,Benin,BEN,2011BEN,5,9726.4,58.5,3.87,1.76,23.4,3.55,2634
106.0,Burkina Faso,BFA,2011BFA,5,16602.7,57.1,4.79,1.71,28.5,3.55,1720
