"","HPI","ISO","year"
"288",21.6,"NGA",2021
"289",20.4,"MNG",2021
"290",19.7,"ZWE",2021
"291",19.2,"LBN",2021
"292",19.1,"ZMB",2021
"293",18.8,"QAT",2021
"294",18.3,"TCD",2021
"295",16.2,"AFG",2021
"296",15.6,"LSO",2021
"297",14.7,"BWA",2021
"298",13.7,"CAF",2021
"299",0,"BDI",2019
"300",0,"SDN",2019
"301",55.3,"VUT",2019
"302",54,"SWE",2019
"303",57.2,"SLV",2019
"304",61.7,"CRI",2019
"305",53.9,"NIC",2019
"306",51.4,"DNK",2019
"307",52.2,"ESP",2019
"308",49.7,"PAN",2019
"309",50.8,"FRA",2019
"310",48.9,"CHL",2019
"311",49.7,"PRT",2019
"312",52.1,"MDA",2019
"313",52.6,"HND",2019
"314",50.1,"NLD",2019
"315",49.8,"NOR",2019
"316",54.6,"GTM",2019
"317",47.7,"FIN",2019
"318",48.9,"ITA",2019
"319",50.3,"GBR",2019
"320",48,"ROU",2019
"321",54.3,"PHL",2019
"322",47.3,"ISR",2019
"323",46.8,"GRC",2019
"324",46.6,"SVN",2019
"325",43.8,"HRV",2019
"326",50.6,"THA",2019
"327",48.4,"TJK",2019
"328",48.7,"IRL",2019
"329",43.5,"DZA",2019
"330",48.2,"DOM",2019
"331",53.5,"PER",2019
"332",0,"CZE",2019
"333",46.6,"ALB",2019
"334",52.2,"BRA",2019
"335",46.8,"DEU",2019
"336",45.4,"VNM",2019
"337",44.8,"AUT",2019
"338",43.6,"MAR",2019
"339",51,"ECU",2019
"340",49.7,"JAM",2019
"341",46.7,"ARG",2019
"342",42,"NZL",2019
"343",50.5,"MEX",2019
"344",42.7,"UZB",2019
"345",47.8,"ARM",2019
"346",42.1,"HUN",2019
"347",54.7,"COL",2019
"348",42.8,"CHE",2019
"349",41.1,"JPN",2019
"350",0,"BTN",2019
"351",37.8,"CHN",2019
"352",40.2,"MKD",2019
"353",43.1,"KGZ",2019
"354",42.1,"TWN",2019
"355",37.4,"LTU",2019
"356",41.1,"SVK",2019
"357",40.9,"LKA",2019
"358",38.4,"ISL",2019
"359",42.3,"POL",2019
"360",42.4,"IDN",2019
"361",43.6,"MUS",2019
"362",41.8,"URY",2019
"363",42.2,"BHR",2019
"364",42.5,"BIH",2019
"365",46.1,"SEN",2019
"366",37.1,"AUS",2019
"367",38.9,"MLT",2019
"368",48.4,"BGD",2019
"369",35.2,"MYS",2019
"370",37.7,"LVA",2019
"371",40.9,"LBY",2019
"372",36.8,"BEL",2019
"373",41.2,"BLR",2019
"374",39.1,"TUN",2019
"375",35.7,"EST",2019
"376",36.5,"KOR",2019
"377",37.7,"BGR",2019
"378",45.1,"NPL",2019
"379",36.2,"CAN",2019
"380",38.3,"GEO",2019
"381",34.5,"CYP",2019
"382",34.4,"UKR",2019
"383",40.6,"KHM",2019
"384",34.8,"MNE",2019
"385",36.5,"COG",2019
"386",35.9,"SRB",2019
"387",33.7,"GAB",2019
"388",37,"AZE",2019
"389",35,"ETH",2019
"390",37,"PRY",2019
"391",38.9,"TUR",2019
"392",33.9,"PAK",2019
"393",32.9,"IRQ",2019
"394",34.4,"CMR",2019
"395",33.4,"MOZ",2019
"396",38.7,"GHA",2019
"397",38.4,"JOR",2019
"398",35.3,"VEN",2019
"399",31.2,"MRT",2019
"400",35.6,"CIV",2019
"401",35.4,"EGY",2019
"402",31.8,"USA",2019
"403",36.4,"BOL",2019
"404",33,"MMR",2019
"405",30.5,"GIN",2019
"406",36.6,"UGA",2019
"407",33.4,"KEN",2019
"408",36.9,"NER",2019
"409",28.7,"SGP",2019
"410",31.8,"LAO",2019
"411",34.8,"MDG",2019
"412",29.9,"KAZ",2019
"413",29.2,"ZAF",2019
"414",29.5,"SAU",2019
"415",31.3,"IRN",2019
"416",33.1,"BEN",2019
"417",30.3,"BFA",2019
"418",29.1,"TZA",2019
"419",37.6,"LBR",2019
"420",27.3,"RWA",2019
"421",28.4,"IND",2019
"422",30.7,"RUS",2019
"423",0,"HTI",2019
"424",30.1,"MWI",2019
"425",32.3,"YEM",2019
"426",26.2,"ARE",2019
"427",26.8,"TGO",2019
"428",26.9,"HKG",2019
"429",24.9,"TKM",2019
"430",0,"COD",2019
"431",0,"TTO",2019
"432",23.9,"LUX",2019
"433",22.8,"SLE",2019
"434",23.2,"KWT",2019
"435",28.6,"MLI",2019
"436",24.2,"NAM",2019
"437",20.5,"NGA",2019
"438",19.6,"MNG",2019
"439",18,"ZWE",2019
"440",36.8,"LBN",2019
"441",22,"ZMB",2019
"442",0,"QAT",2019
"443",18,"TCD",2019
"444",16.9,"AFG",2019
"445",15.5,"LSO",2019
"446",17,"BWA",2019
"447",0,"CAF",2019
"448",27.2,"BDI",2018
"449",0,"SDN",2018
"450",54.5,"VUT",2018
"451",53.8,"SWE",2018
"452",55.6,"SLV",2018
"453",63.4,"CRI",2018
"454",51.5,"NIC",2018
"455",49,"DNK",2018
"456",51.1,"ESP",2018
"457",51.3,"PAN",2018
"458",50.1,"FRA",2018
"459",52,"CHL",2018
"460",47.4,"PRT",2018
"461",50.8,"MDA",2018
"462",52.6,"HND",2018
"463",49.4,"NLD",2018
"464",48.9,"NOR",2018
"465",57.6,"GTM",2018
"466",45.8,"FIN",2018
"467",48.6,"ITA",2018
"468",49.7,"GBR",2018
"469",47.7,"ROU",2018
"470",51,"PHL",2018
"471",45.3,"ISR",2018
"472",42.2,"GRC",2018
"473",42.8,"SVN",2018
"474",43.1,"HRV",2018
"475",50.1,"THA",2018
"476",48.2,"TJK",2018
"477",45.7,"IRL",2018
"478",45.8,"DZA",2018
"479",44.3,"DOM",2018
"480",50.7,"PER",2018
"481",47.1,"CZE",2018
"482",47,"ALB",2018
"483",50,"BRA",2018
"484",45.5,"DEU",2018
"485",45.4,"VNM",2018
"486",46.3,"AUT",2018
"487",42.8,"MAR",2018
"488",52.9,"ECU",2018
"489",48.2,"JAM",2018
"490",43.9,"ARG",2018
"491",43.6,"NZL",2018
"492",50.8,"MEX",2018
"493",42.7,"UZB",2018
"494",43.6,"ARM",2018
"495",41.4,"HUN",2018
"496",52.9,"COL",2018
"497",42.1,"CHE",2018
"498",39.9,"JPN",2018
"499",0,"BTN",2018
"500",37.8,"CHN",2018
"501",41.9,"MKD",2018
"502",40.8,"KGZ",2018
"503",40.9,"TWN",2018
"504",38.5,"LTU",2018
"505",39.4,"SVK",2018
"506",43.1,"LKA",2018
"507",38.6,"ISL",2018
"508",40.6,"POL",2018
"509",42.7,"IDN",2018
"510",41.4,"MUS",2018
"511",40.9,"URY",2018
"512",39.1,"BHR",2018
"513",42.1,"BIH",2018
"514",39.7,"SEN",2018
"515",36.6,"AUS",2018
"516",40.3,"MLT",2018
"517",43.3,"BGD",2018
"518",34.5,"MYS",2018
"519",37.9,"LVA",2018
"520",42,"LBY",2018
"521",37,"BEL",2018
"522",37.8,"BLR",2018
"523",42.7,"TUN",2018
"524",35.4,"EST",2018
"525",35.3,"KOR",2018
"526",37.2,"BGR",2018
"527",40.3,"NPL",2018
"528",35.9,"CAN",2018
"529",36.9,"GEO",2018
"530",35.4,"CYP",2018
"531",33.8,"UKR",2018
"532",41.7,"KHM",2018
"533",37,"MNE",2018
"534",40.3,"COG",2018
"535",34.7,"SRB",2018
"536",32.2,"GAB",2018
"537",37.4,"AZE",2018
"538",37,"ETH",2018
"539",37.3,"PRY",2018
"540",40.4,"TUR",2018
"541",41.4,"PAK",2018
"542",33.5,"IRQ",2018
"543",36.3,"CMR",2018
"544",30.8,"MOZ",2018
"545",38.4,"GHA",2018
"546",40,"JOR",2018
"547",33.7,"VEN",2018
"548",32.3,"MRT",2018
"549",34.3,"CIV",2018
"550",32.8,"EGY",2018
"551",31,"USA",2018
"552",37.9,"BOL",2018
"553",33.6,"MMR",2018
"554",33.6,"GIN",2018
"555",31.5,"UGA",2018
"556",33.4,"KEN",2018
"557",37.8,"NER",2018
"558",28.7,"SGP",2018
"559",29.4,"LAO",2018
"560",31.9,"MDG",2018
"561",28.2,"KAZ",2018
"562",28,"ZAF",2018
"563",28.6,"SAU",2018
"564",27.5,"IRN",2018
"565",39,"BEN",2018
"566",31.8,"BFA",2018
"567",27.2,"TZA",2018
"568",29.6,"LBR",2018
"569",29.7,"RWA",2018
"570",33,"IND",2018
"571",30.7,"RUS",2018
"572",26.8,"HTI",2018
"573",25,"MWI",2018
"574",22.8,"YEM",2018
"575",25.7,"ARE",2018
"576",25.2,"TGO",2018
"577",25.8,"HKG",2018
"578",21.1,"TKM",2018
"579",0,"COD",2018
"580",0,"TTO",2018
"581",23.2,"LUX",2018
"582",28.9,"SLE",2018
"583",23.5,"KWT",2018
"584",24.9,"MLI",2018
"585",26.1,"NAM",2018
"586",26.5,"NGA",2018
"587",19,"MNG",2018
"588",25.2,"ZWE",2018
"589",46.3,"LBN",2018
"590",26.7,"ZMB",2018
"591",0,"QAT",2018
"592",18.7,"TCD",2018
"593",19.3,"AFG",2018
"594",16,"LSO",2018
"595",16.3,"BWA",2018
"596",0,"CAF",2018
"597",0,"BDI",2017
"598",0,"SDN",2017
"599",53.8,"VUT",2017
"600",53.3,"SWE",2017
"601",56.3,"SLV",2017
"602",64.1,"CRI",2017
"603",56.7,"NIC",2017
"604",49.3,"DNK",2017
"605",49.2,"ESP",2017
"606",53.6,"PAN",2017
"607",49.7,"FRA",2017
"608",51.6,"CHL",2017
"609",45.8,"PRT",2017
"610",48.2,"MDA",2017
"611",53.9,"HND",2017
"612",49.6,"NLD",2017
"613",49.3,"NOR",2017
"614",55.6,"GTM",2017
"615",46.7,"FIN",2017
