HPI,ISO,year
35.6,CIV,2019
35.4,EGY,2019
31.8,USA,2019
36.4,BOL,2019
33,MMR,2019
30.5,GIN,2019
36.6,UGA,2019
33.4,KEN,2019
36.9,NER,2019
28.7,SGP,2019
31.8,LAO,2019
34.8,MDG,2019
29.9,KAZ,2019
29.2,ZAF,2019
29.5,SAU,2019
31.3,IRN,2019
33.1,BEN,2019
30.3,BFA,2019
29.1,TZA,2019
37.6,LBR,2019
27.3,RWA,2019
28.4,IND,2019
30.7,RUS,2019
0,HTI,2019
30.1,MWI,2019
32.3,YEM,2019
26.2,ARE,2019
26.8,TGO,2019
26.9,HKG,2019
24.9,TKM,2019
0,COD,2019
0,TTO,2019
23.9,LUX,2019
22.8,SLE,2019
23.2,KWT,2019
28.6,MLI,2019
24.2,NAM,2019
20.5,NGA,2019
19.6,MNG,2019
18,ZWE,2019
36.8,LBN,2019
22,ZMB,2019
0,QAT,2019
18,TCD,2019
16.9,AFG,2019
15.5,LSO,2019
17,BWA,2019
0,CAF,2019
27.2,BDI,2018
0,SDN,2018
54.5,VUT,2018
53.8,SWE,2018
55.6,SLV,2018
63.4,CRI,2018
51.5,NIC,2018
49,DNK,2018
51.1,ESP,2018
51.3,PAN,2018
50.1,FRA,2018
52,CHL,2018
47.4,PRT,2018
50.8,MDA,2018
52.6,HND,2018
49.4,NLD,2018
48.9,NOR,2018
57.6,GTM,2018
45.8,FIN,2018
48.6,ITA,2018
49.7,GBR,2018
47.7,ROU,2018
51,PHL,2018
45.3,ISR,2018
42.2,GRC,2018
42.8,SVN,2018
43.1,HRV,2018
50.1,THA,2018
48.2,TJK,2018
45.7,IRL,2018
45.8,DZA,2018
44.3,DOM,2018
50.7,PER,2018
47.1,CZE,2018
47,ALB,2018
50,BRA,2018
45.5,DEU,2018
45.4,VNM,2018
46.3,AUT,2018
42.8,MAR,2018
52.9,ECU,2018
48.2,JAM,2018
43.9,ARG,2018
43.6,NZL,2018
50.8,MEX,2018
42.7,UZB,2018
43.6,ARM,2018
41.4,HUN,2018
52.9,COL,2018
42.1,CHE,2018
39.9,JPN,2018
0,BTN,2018
37.8,CHN,2018
41.9,MKD,2018
40.8,KGZ,2018
40.9,TWN,2018
38.5,LTU,2018
39.4,SVK,2018
43.1,LKA,2018
38.6,ISL,2018
40.6,POL,2018
42.7,IDN,2018
41.4,MUS,2018
40.9,URY,2018
39.1,BHR,2018
42.1,BIH,2018
39.7,SEN,2018
36.6,AUS,2018
40.3,MLT,2018
43.3,BGD,2018
34.5,MYS,2018
37.9,LVA,2018
42,LBY,2018
37,BEL,2018
37.8,BLR,2018
42.7,TUN,2018
35.4,EST,2018
35.3,KOR,2018
37.2,BGR,2018
40.3,NPL,2018
35.9,CAN,2018
36.9,GEO,2018
35.4,CYP,2018
33.8,UKR,2018
41.7,KHM,2018
37,MNE,2018
40.3,COG,2018
34.7,SRB,2018
32.2,GAB,2018
37.4,AZE,2018
37,ETH,2018
37.3,PRY,2018
40.4,TUR,2018
41.4,PAK,2018
33.5,IRQ,2018
36.3,CMR,2018
30.8,MOZ,2018
38.4,GHA,2018
40,JOR,2018
33.7,VEN,2018
32.3,MRT,2018
34.3,CIV,2018
32.8,EGY,2018
31,USA,2018
37.9,BOL,2018
33.6,MMR,2018
33.6,GIN,2018
31.5,UGA,2018
33.4,KEN,2018
37.8,NER,2018
28.7,SGP,2018
29.4,LAO,2018
31.9,MDG,2018
28.2,KAZ,2018
28,ZAF,2018
28.6,SAU,2018
27.5,IRN,2018
39,BEN,2018
31.8,BFA,2018
27.2,TZA,2018
29.6,LBR,2018
29.7,RWA,2018
33,IND,2018
30.7,RUS,2018
26.8,HTI,2018
25,MWI,2018
22.8,YEM,2018
25.7,ARE,2018
25.2,TGO,2018
25.8,HKG,2018
21.1,TKM,2018
0,COD,2018
0,TTO,2018
23.2,LUX,2018
28.9,SLE,2018
23.5,KWT,2018
24.9,MLI,2018
26.1,NAM,2018
